Document_ID,Document_Number,Document_Type,Document_Date,Status
DOC000001,INV-000001,Payroll,2025-11-08 00:00:00,Posted
DOC000002,INV-000002,Purchase_Order,2025-03-25 00:00:00,Posted
DOC000003,INV-000003,Budget_Entry,2025-03-01 00:00:00,Posted
DOC000004,INV-000004,Budget_Entry,2024-09-09 00:00:00,Posted
DOC000005,INV-000005,Payroll,2024-02-23 00:00:00,Posted
DOC000006,INV-000006,Purchase_Order,2023-11-05 00:00:00,Posted
DOC000007,INV-000007,Sales_Invoice,2025-05-13 00:00:00,Posted
DOC000008,INV-000008,Sales_Invoice,2023-07-05 00:00:00,Posted
DOC000009,INV-000009,Sales_Invoice,2023-09-18 00:00:00,Posted
DOC000010,INV-000010,Budget_Entry,2023-06-09 00:00:00,Approved
DOC000011,INV-000011,Purchase_Order,2025-05-19 00:00:00,Posted
DOC000012,INV-000012,Purchase_Order,2025-01-31 00:00:00,Posted
DOC000013,INV-000013,Budget_Entry,2023-08-12 00:00:00,Posted
DOC000014,INV-000014,Sales_Invoice,2023-06-29 00:00:00,Posted
DOC000015,INV-000015,Sales_Invoice,2023-01-20 00:00:00,Posted
DOC000016,INV-000016,Payroll,2024-09-23 00:00:00,Posted
DOC000017,INV-000017,Stock_Movement,2023-02-27 00:00:00,Approved
DOC000018,INV-000018,Purchase_Order,2024-12-23 00:00:00,Posted
DOC000019,INV-000019,Purchase_Order,2024-09-06 00:00:00,Posted
DOC000020,INV-000020,Purchase_Order,2024-07-15 00:00:00,Posted
DOC000021,INV-000021,Stock_Movement,2024-01-09 00:00:00,Posted
DOC000022,INV-000022,Payroll,2024-09-13 00:00:00,Posted
DOC000023,INV-000023,Stock_Movement,2023-03-29 00:00:00,Posted
DOC000024,INV-000024,Sales_Invoice,2025-11-09 00:00:00,Posted
DOC000025,INV-000025,Sales_Invoice,2025-10-10 00:00:00,Posted
DOC000026,INV-000026,Purchase_Order,2023-01-14 00:00:00,Approved
DOC000027,INV-000027,Budget_Entry,2023-05-13 00:00:00,Posted
DOC000028,INV-000028,Purchase_Order,2025-11-23 00:00:00,Approved
DOC000029,INV-000029,Budget_Entry,2025-06-10 00:00:00,Posted
DOC000030,INV-000030,Stock_Movement,2024-08-14 00:00:00,Posted
DOC000031,INV-000031,Sales_Invoice,2024-08-05 00:00:00,Posted
DOC000032,INV-000032,Budget_Entry,2023-10-16 00:00:00,Posted
DOC000033,INV-000033,Stock_Movement,2025-10-09 00:00:00,Posted
DOC000034,INV-000034,Sales_Invoice,2025-05-28 00:00:00,Posted
DOC000035,INV-000035,Budget_Entry,2023-01-07 00:00:00,Posted
DOC000036,INV-000036,Purchase_Order,2023-08-28 00:00:00,Cancelled
DOC000037,INV-000037,Purchase_Order,2024-06-19 00:00:00,Posted
DOC000038,INV-000038,Purchase_Order,2023-03-11 00:00:00,Approved
DOC000039,INV-000039,Stock_Movement,2023-08-04 00:00:00,Draft
DOC000040,INV-000040,Purchase_Order,2025-12-13 00:00:00,Posted
DOC000041,INV-000041,Payroll,2025-03-16 00:00:00,Posted
DOC000042,INV-000042,Sales_Invoice,2023-11-26 00:00:00,Posted
DOC000043,INV-000043,Stock_Movement,2025-04-27 00:00:00,Posted
DOC000044,INV-000044,Purchase_Order,2023-02-14 00:00:00,Posted
DOC000045,INV-000045,Sales_Invoice,2025-04-08 00:00:00,Posted
DOC000046,INV-000046,Budget_Entry,2023-07-17 00:00:00,Cancelled
DOC000047,INV-000047,Purchase_Order,2025-06-14 00:00:00,Posted
DOC000048,INV-000048,Sales_Invoice,2023-11-28 00:00:00,Posted
DOC000049,INV-000049,Payroll,2024-11-26 00:00:00,Approved
DOC000050,INV-000050,Budget_Entry,2023-01-27 00:00:00,Posted
DOC000051,INV-000051,Payroll,2023-11-14 00:00:00,Posted
DOC000052,INV-000052,Sales_Invoice,2023-12-31 00:00:00,Posted
DOC000053,INV-000053,Payroll,2025-08-17 00:00:00,Draft
DOC000054,INV-000054,Sales_Invoice,2024-01-08 00:00:00,Posted
DOC000055,INV-000055,Sales_Invoice,2023-09-02 00:00:00,Posted
DOC000056,INV-000056,Payroll,2024-04-22 00:00:00,Draft
DOC000057,INV-000057,Sales_Invoice,2023-05-05 00:00:00,Posted
DOC000058,INV-000058,Purchase_Order,2024-06-20 00:00:00,Posted
DOC000059,INV-000059,Sales_Invoice,2024-12-06 00:00:00,Posted
DOC000060,INV-000060,Stock_Movement,2024-06-14 00:00:00,Posted
DOC000061,INV-000061,Sales_Invoice,2025-02-24 00:00:00,Posted
DOC000062,INV-000062,Stock_Movement,2023-09-11 00:00:00,Posted
DOC000063,INV-000063,Sales_Invoice,2023-05-01 00:00:00,Posted
DOC000064,INV-000064,Sales_Invoice,2025-11-21 00:00:00,Posted
DOC000065,INV-000065,Payroll,2024-10-22 00:00:00,Posted
DOC000066,INV-000066,Purchase_Order,2025-11-26 00:00:00,Approved
DOC000067,INV-000067,Purchase_Order,2025-11-02 00:00:00,Posted
DOC000068,INV-000068,Budget_Entry,2023-03-29 00:00:00,Posted
DOC000069,INV-000069,Payroll,2023-02-15 00:00:00,Posted
DOC000070,INV-000070,Payroll,2025-07-21 00:00:00,Posted
DOC000071,INV-000071,Purchase_Order,2025-01-14 00:00:00,Posted
DOC000072,INV-000072,Payroll,2025-08-24 00:00:00,Draft
DOC000073,INV-000073,Purchase_Order,2025-02-01 00:00:00,Approved
DOC000074,INV-000074,Payroll,2025-01-31 00:00:00,Posted
DOC000075,INV-000075,Sales_Invoice,2025-03-04 00:00:00,Posted
DOC000076,INV-000076,Purchase_Order,2025-01-13 00:00:00,Posted
DOC000077,INV-000077,Purchase_Order,2025-12-05 00:00:00,Posted
DOC000078,INV-000078,Stock_Movement,2024-07-11 00:00:00,Posted
DOC000079,INV-000079,Payroll,2024-06-09 00:00:00,Posted
DOC000080,INV-000080,Payroll,2024-08-19 00:00:00,Posted
DOC000081,INV-000081,Purchase_Order,2025-04-19 00:00:00,Approved
DOC000082,INV-000082,Sales_Invoice,2023-01-03 00:00:00,Posted
DOC000083,INV-000083,Sales_Invoice,2025-11-17 00:00:00,Posted
DOC000084,INV-000084,Sales_Invoice,2023-06-06 00:00:00,Approved
DOC000085,INV-000085,Payroll,2025-05-04 00:00:00,Posted
DOC000086,INV-000086,Stock_Movement,2024-05-25 00:00:00,Draft
DOC000087,INV-000087,Purchase_Order,2024-11-17 00:00:00,Draft
DOC000088,INV-000088,Budget_Entry,2024-07-24 00:00:00,Posted
DOC000089,INV-000089,Stock_Movement,2024-12-15 00:00:00,Posted
DOC000090,INV-000090,Budget_Entry,2023-08-27 00:00:00,Posted
DOC000091,INV-000091,Stock_Movement,2023-10-30 00:00:00,Posted
DOC000092,INV-000092,Sales_Invoice,2024-08-29 00:00:00,Posted
DOC000093,INV-000093,Payroll,2025-09-17 00:00:00,Posted
DOC000094,INV-000094,Budget_Entry,2023-11-30 00:00:00,Posted
DOC000095,INV-000095,Stock_Movement,2023-04-23 00:00:00,Draft
DOC000096,INV-000096,Payroll,2023-12-28 00:00:00,Posted
DOC000097,INV-000097,Budget_Entry,2025-03-11 00:00:00,Cancelled
DOC000098,INV-000098,Purchase_Order,2023-04-07 00:00:00,Posted
DOC000099,INV-000099,Stock_Movement,2023-01-16 00:00:00,Approved
DOC000100,INV-000100,Purchase_Order,2024-07-09 00:00:00,Approved
DOC000101,INV-000101,Sales_Invoice,2024-01-11 00:00:00,Posted
DOC000102,INV-000102,Purchase_Order,2025-01-11 00:00:00,Posted
DOC000103,INV-000103,Purchase_Order,2024-01-25 00:00:00,Posted
DOC000104,INV-000104,Stock_Movement,2024-09-11 00:00:00,Posted
DOC000105,INV-000105,Sales_Invoice,2025-04-03 00:00:00,Posted
DOC000106,INV-000106,Purchase_Order,2023-11-16 00:00:00,Posted
DOC000107,INV-000107,Payroll,2023-07-15 00:00:00,Posted
DOC000108,INV-000108,Budget_Entry,2024-02-22 00:00:00,Posted
DOC000109,INV-000109,Purchase_Order,2024-08-29 00:00:00,Posted
DOC000110,INV-000110,Sales_Invoice,2024-07-21 00:00:00,Posted
DOC000111,INV-000111,Purchase_Order,2024-06-27 00:00:00,Posted
DOC000112,INV-000112,Budget_Entry,2023-08-19 00:00:00,Posted
DOC000113,INV-000113,Sales_Invoice,2025-06-02 00:00:00,Posted
DOC000114,INV-000114,Stock_Movement,2024-06-04 00:00:00,Posted
DOC000115,INV-000115,Sales_Invoice,2024-12-03 00:00:00,Posted
DOC000116,INV-000116,Stock_Movement,2025-04-25 00:00:00,Posted
DOC000117,INV-000117,Sales_Invoice,2024-11-03 00:00:00,Posted
DOC000118,INV-000118,Budget_Entry,2023-01-21 00:00:00,Posted
DOC000119,INV-000119,Budget_Entry,2024-08-10 00:00:00,Posted
DOC000120,INV-000120,Sales_Invoice,2025-06-16 00:00:00,Draft
DOC000121,INV-000121,Purchase_Order,2024-01-06 00:00:00,Posted
DOC000122,INV-000122,Budget_Entry,2023-03-19 00:00:00,Posted
DOC000123,INV-000123,Stock_Movement,2024-10-09 00:00:00,Cancelled
DOC000124,INV-000124,Stock_Movement,2023-05-20 00:00:00,Posted
DOC000125,INV-000125,Payroll,2024-07-06 00:00:00,Posted
DOC000126,INV-000126,Stock_Movement,2025-09-24 00:00:00,Posted
DOC000127,INV-000127,Payroll,2023-10-09 00:00:00,Approved
DOC000128,INV-000128,Sales_Invoice,2024-03-15 00:00:00,Posted
DOC000129,INV-000129,Sales_Invoice,2023-09-27 00:00:00,Posted
DOC000130,INV-000130,Sales_Invoice,2025-01-15 00:00:00,Posted
DOC000131,INV-000131,Purchase_Order,2023-04-14 00:00:00,Posted
DOC000132,INV-000132,Purchase_Order,2025-02-04 00:00:00,Posted
DOC000133,INV-000133,Payroll,2023-04-05 00:00:00,Posted
DOC000134,INV-000134,Stock_Movement,2024-12-29 00:00:00,Posted
DOC000135,INV-000135,Stock_Movement,2024-04-24 00:00:00,Posted
DOC000136,INV-000136,Sales_Invoice,2025-02-18 00:00:00,Posted
DOC000137,INV-000137,Budget_Entry,2023-01-13 00:00:00,Posted
DOC000138,INV-000138,Purchase_Order,2024-08-23 00:00:00,Posted
DOC000139,INV-000139,Purchase_Order,2023-04-05 00:00:00,Draft
DOC000140,INV-000140,Sales_Invoice,2023-10-20 00:00:00,Approved
DOC000141,INV-000141,Purchase_Order,2023-01-25 00:00:00,Posted
DOC000142,INV-000142,Sales_Invoice,2025-07-27 00:00:00,Cancelled
DOC000143,INV-000143,Payroll,2025-01-31 00:00:00,Posted
DOC000144,INV-000144,Stock_Movement,2024-10-15 00:00:00,Posted
DOC000145,INV-000145,Budget_Entry,2025-09-11 00:00:00,Posted
DOC000146,INV-000146,Stock_Movement,2024-09-29 00:00:00,Posted
DOC000147,INV-000147,Stock_Movement,2024-05-05 00:00:00,Posted
DOC000148,INV-000148,Payroll,2024-07-28 00:00:00,Posted
DOC000149,INV-000149,Purchase_Order,2023-10-21 00:00:00,Posted
DOC000150,INV-000150,Budget_Entry,2025-06-14 00:00:00,Posted
DOC000151,INV-000151,Purchase_Order,2023-02-09 00:00:00,Posted
DOC000152,INV-000152,Stock_Movement,2025-02-14 00:00:00,Posted
DOC000153,INV-000153,Sales_Invoice,2024-06-03 00:00:00,Posted
DOC000154,INV-000154,Stock_Movement,2024-06-29 00:00:00,Posted
DOC000155,INV-000155,Purchase_Order,2023-08-24 00:00:00,Cancelled
DOC000156,INV-000156,Stock_Movement,2024-04-07 00:00:00,Posted
DOC000157,INV-000157,Sales_Invoice,2024-04-27 00:00:00,Posted
DOC000158,INV-000158,Payroll,2024-03-05 00:00:00,Posted
DOC000159,INV-000159,Purchase_Order,2025-11-11 00:00:00,Draft
DOC000160,INV-000160,Stock_Movement,2023-12-09 00:00:00,Posted
DOC000161,INV-000161,Purchase_Order,2025-11-29 00:00:00,Posted
DOC000162,INV-000162,Payroll,2023-05-13 00:00:00,Posted
DOC000163,INV-000163,Stock_Movement,2023-12-17 00:00:00,Approved
