Product_ID,Product_Name,SKU,Category,Brand,Unit_Cost,Unit_Price,Weight_KG,Is_Active,Markup_Pct
PRD00001,Product_1,SKU-00000001,Food & Beverages,Brand_G,424.4,862.9,12.03,1,103.32
PRD00002,Product_2,SKU-00000002,Books,Brand_C,451.61,869.95,25.66,1,92.63
PRD00003,Product_3,SKU-00000003,Electronics,Brand_A,439.29,727.1,38.7,1,65.52
PRD00004,Product_4,SKU-00000004,Electronics,Brand_D,487.31,748.3,2.3,1,53.56
PRD00005,Product_5,SKU-00000005,Toys,Brand_A,18.62,562.35,34.7,1,2920.14
PRD00006,Product_6,SKU-00000006,Home & Garden,Brand_G,420.71,588.82,32.45,1,39.96
PRD00007,Product_7,SKU-00000007,Food & Beverages,Brand_A,377.13,142.31,11.65,1,-62.27
PRD00008,Product_8,SKU-00000008,Home & Garden,Brand_G,118.2,449.42,34.1,1,280.22
PRD00009,Product_9,SKU-00000009,Books,Brand_A,478.38,456.27,47.02,1,-4.62
PRD00010,Product_10,SKU-00000010,Food & Beverages,Brand_B,78.35,958.91,2.43,1,1123.88
PRD00011,Product_11,SKU-00000011,Sports,Brand_E,341.38,436.78,16.05,1,27.95
PRD00012,Product_12,SKU-00000012,Clothing,Brand_B,116.32,553.85,21.97,1,376.14
PRD00013,Product_13,SKU-00000013,Sports,Brand_B,218.53,537.92,44.97,1,146.15
PRD00014,Product_14,SKU-00000014,Books,Brand_H,360.98,640.39,48.12,1,77.4
PRD00015,Product_15,SKU-00000015,Food & Beverages,Brand_F,283.85,750.75,22.26,1,164.49
PRD00016,Product_16,SKU-00000016,Health & Beauty,Brand_F,216.61,232.79,37.53,1,7.47
PRD00017,Product_17,SKU-00000017,Books,Brand_A,166.54,533.44,26.63,1,220.31
PRD00018,Product_18,SKU-00000018,Health & Beauty,Brand_G,420.63,827.66,26.94,1,96.77
PRD00019,Product_19,SKU-00000019,Clothing,Brand_H,76.19,468.48,13.98,1,514.88
PRD00020,Product_20,SKU-00000020,Electronics,Brand_B,217.9,285.67,10.93,1,31.1
PRD00021,Product_21,SKU-00000021,Electronics,Brand_H,452.36,658.16,14.47,1,45.49
PRD00022,Product_22,SKU-00000022,Books,Brand_A,423.7,825.53,27.86,1,94.84
PRD00023,Product_23,SKU-00000023,Home & Garden,Brand_F,203.47,72.51,1.55,1,-64.36
PRD00024,Product_24,SKU-00000024,Food & Beverages,Brand_E,382.74,779.02,45.37,1,103.54
