Budget_ID,Date_ID,Budget_Period,Account_ID,Business_Line_ID,Employee_ID,Budget_Version,Budget_Type,Budget_Category,Cost_Center,Project_Code,Budgeted_Amount,Actual_Amount,Committed_Amount,Forecast_Amount,Budget_Owner,Approval_Status,Approved_By,Notes,Approval_Date,Last_Modified_Date,Variance,Variance_Pct,Available_Budget,Utilization_Pct,Forecast_Variance
1,20250413,2025-04-13 00:00:00,ACC10001,BL004,EMP00122,V1_Original,Quarterly,OPEX,CC-3628,,20487.65,19095.36,60133.98,47531.26,EMP00174,Approved,EMP00247,,2025-04-21 00:00:00,2025-04-13 00:00:00,-1392.29,-6.8,-39646.33,93.2,27043.61
2,20241105,2024-11-05 00:00:00,ACC20002,BL002,EMP00236,V3_Final,Quarterly,OPEX,CC-2359,PROJ-002,47789.44,32065.86,22042.78,86353.31,EMP00135,Pending,EMP00242,,2024-11-10 00:00:00,2024-11-15 00:00:00,-15723.58,-32.9,25746.66,67.1,38563.87
3,20230831,2023-08-31 00:00:00,ACC30004,BL006,EMP00077,V3_Final,Monthly,Headcount,CC-8192,,13806.44,14419.12,4147.2,84968.73,EMP00226,Pending,EMP00020,,2023-09-01 00:00:00,2023-09-25 00:00:00,612.68,4.44,9659.24,104.44,71162.29
4,20230613,2023-06-13 00:00:00,ACC30003,BL005,EMP00077,V2_Revised,Quarterly,OPEX,CC-9587,PROJ-002,67545.65,7481.09,42185.98,25401,EMP00204,Pending,EMP00041,Over Budget,2023-06-16 00:00:00,2023-06-28 00:00:00,-60064.56,-88.92,25359.67,11.08,-42144.65
5,20231124,2023-11-24 00:00:00,ACC40002,BL001,EMP00009,V1_Original,Monthly,CAPEX,CC-5420,,77784.39,43763.52,64243.68,16036.77,EMP00045,Approved,EMP00098,,2023-11-28 00:00:00,2023-11-27 00:00:00,-34020.87,-43.74,13540.71,56.26,-61747.62
6,20251008,2025-10-08 00:00:00,ACC30001,BL006,EMP00176,V3_Final,Annual,OPEX,CC-8199,,17088.64,44441.47,71563.81,54532.36,EMP00067,Approved,EMP00061,,2025-10-17 00:00:00,2025-11-01 00:00:00,27352.83,160.06,-54475.17,260.06,37443.72
7,20250502,2025-05-02 00:00:00,ACC50002,BL001,EMP00143,V1_Original,Rolling,OPEX,CC-1687,,13782.4,58575.17,14110.22,56885.58,EMP00243,Approved,EMP00233,,2025-05-12 00:00:00,2025-05-04 00:00:00,44792.77,325,-327.82,425,43103.18
8,20240317,2024-03-17 00:00:00,ACC30003,BL006,EMP00189,V3_Final,Quarterly,OPEX,CC-1120,,35151.66,12158.51,43236.85,3436.6,EMP00114,Approved,EMP00217,,2024-03-30 00:00:00,2024-04-03 00:00:00,-22993.15,-65.41,-8085.19,34.59,-31715.06
9,20250701,2025-07-01 00:00:00,ACC20001,BL001,EMP00236,V2_Revised,Monthly,OPEX,CC-4269,,3820.13,71534.38,82768.77,65805.28,EMP00122,Draft,EMP00099,,2025-07-13 00:00:00,2025-07-10 00:00:00,67714.25,1772.56,-78948.64,1872.56,61985.15
10,20240903,2024-09-03 00:00:00,ACC10001,BL004,EMP00034,V2_Revised,Annual,OPEX,CC-2724,,12791.8,83659.41,93126.58,103826.7,EMP00139,Approved,EMP00226,,2024-09-14 00:00:00,2024-09-20 00:00:00,70867.61,554.01,-80334.78,654.01,91034.9
11,20240614,2024-06-14 00:00:00,ACC40002,BL003,EMP00034,V1_Original,Annual,Headcount,CC-5792,,95081.93,69806.04,46568.36,22657.01,EMP00147,Draft,EMP00080,,2024-06-25 00:00:00,2024-06-26 00:00:00,-25275.89,-26.58,48513.57,73.42,-72424.92
12,20240729,2024-07-29 00:00:00,ACC40002,BL005,EMP00073,V2_Revised,Quarterly,OPEX,CC-1828,PROJ-001,96869.23,58661.19,20885.23,21284.91,EMP00032,Pending,EMP00217,,2024-08-11 00:00:00,2024-08-10 00:00:00,-38208.04,-39.44,75984,60.56,-75584.32
13,20230403,2023-04-03 00:00:00,ACC30004,BL005,EMP00119,V1_Original,Quarterly,Headcount,CC-2479,PROJ-002,95378.05,107445.57,19456.06,88789.73,EMP00109,Approved,EMP00099,,2023-04-14 00:00:00,2023-04-14 00:00:00,12067.52,12.65,75921.99,112.65,-6588.32
14,20250928,2025-09-28 00:00:00,ACC30001,BL005,EMP00142,V3_Final,Monthly,Revenue,CC-6934,,92561.09,73105.69,68340.95,14041.1,EMP00136,Approved,EMP00226,,2025-10-08 00:00:00,2025-10-13 00:00:00,-19455.4,-21.02,24220.14,78.98,-78519.99
15,20240617,2024-06-17 00:00:00,ACC40001,BL005,EMP00194,V1_Original,Quarterly,Headcount,CC-7517,,24407.87,49488.96,7628.25,61479.23,EMP00068,Approved,EMP00113,,2024-07-01 00:00:00,2024-07-07 00:00:00,25081.09,102.76,16779.62,202.76,37071.36
16,20240213,2024-02-13 00:00:00,ACC10001,BL005,EMP00165,V3_Final,Annual,CAPEX,CC-8301,PROJ-003,42720.56,11498.3,14145.45,40476.9,EMP00132,Approved,EMP00066,,2024-02-18 00:00:00,2024-03-13 00:00:00,-31222.26,-73.08,28575.11,26.92,-2243.66
17,20231117,2023-11-17 00:00:00,ACC50002,BL001,EMP00143,V3_Final,Monthly,Revenue,CC-4476,,16945.46,3414.57,56116.61,77708.05,EMP00219,Approved,EMP00113,,2023-11-27 00:00:00,2023-11-22 00:00:00,-13530.89,-79.85,-39171.15,20.15,60762.59
18,20241023,2024-10-23 00:00:00,ACC20002,BL003,EMP00245,V3_Final,Monthly,Revenue,CC-9963,PROJ-001,34849.57,45687.08,19910.56,43122.71,EMP00014,Approved,EMP00247,,2024-10-31 00:00:00,2024-10-23 00:00:00,10837.51,31.1,14939.01,131.1,8273.14
19,20240107,2024-01-07 00:00:00,ACC40002,BL005,EMP00077,V1_Original,Quarterly,Headcount,CC-4967,,10824,42358.07,17893.14,75995.98,EMP00134,Approved,EMP00013,,2024-01-20 00:00:00,2024-02-03 00:00:00,31534.07,291.33,-7069.14,391.33,65171.98
20,20250125,2025-01-25 00:00:00,ACC60001,BL006,EMP00203,V1_Original,Monthly,OPEX,CC-2316,PROJ-001,16994.41,16701.52,28812.33,12234.15,EMP00116,Approved,EMP00026,,2025-02-01 00:00:00,2025-02-18 00:00:00,-292.89,-1.72,-11817.92,98.28,-4760.26
21,20230615,2023-06-15 00:00:00,ACC40003,BL003,EMP00163,V2_Revised,Quarterly,OPEX,CC-5900,PROJ-003,29417.71,80109.49,32365.4,45745.4,EMP00199,Draft,EMP00232,,2023-06-28 00:00:00,2023-07-04 00:00:00,50691.78,172.32,-2947.69,272.32,16327.69
22,20230109,2023-01-09 00:00:00,ACC50002,BL002,EMP00194,V1_Original,Annual,OPEX,CC-4463,,33033.86,47492.94,3101.22,22970,EMP00247,Approved,EMP00136,Under Budget,2023-01-14 00:00:00,2023-01-09 00:00:00,14459.08,43.77,29932.64,143.77,-10063.86
23,20241029,2024-10-29 00:00:00,ACC40002,BL002,EMP00209,V2_Revised,Project-Based,OPEX,CC-9348,,76226.98,67565.16,11158.9,60360.29,EMP00229,Pending,EMP00041,,2024-11-06 00:00:00,2024-11-21 00:00:00,-8661.82,-11.36,65068.08,88.64,-15866.69
24,20240904,2024-09-04 00:00:00,ACC60001,BL006,EMP00212,V1_Original,Monthly,OPEX,CC-5926,,27287.22,52713.98,16008.27,43267.05,EMP00139,Approved,EMP00099,On Track,2024-09-12 00:00:00,2024-09-06 00:00:00,25426.76,93.18,11278.95,193.18,15979.83
25,20250215,2025-02-15 00:00:00,ACC10001,BL003,EMP00112,V2_Revised,Monthly,Revenue,CC-6855,,71056.71,106659.82,31411.87,64147.48,EMP00054,Approved,EMP00198,,2025-02-19 00:00:00,2025-03-16 00:00:00,35603.11,50.11,39644.84,150.11,-6909.23
26,20240116,2024-01-16 00:00:00,ACC40001,BL003,EMP00192,V2_Revised,Project-Based,OPEX,CC-4599,,25279.9,81704.18,53745.17,1140.51,EMP00067,Approved,EMP00046,,2024-01-20 00:00:00,2024-01-29 00:00:00,56424.28,223.2,-28465.27,323.2,-24139.39
27,20240802,2024-08-02 00:00:00,ACC20001,BL006,EMP00066,V3_Final,Monthly,OPEX,CC-6242,,67660.15,15371.21,33024.29,64217.03,EMP00225,Approved,EMP00199,,2024-08-04 00:00:00,2024-08-02 00:00:00,-52288.94,-77.28,34635.86,22.72,-3443.12
28,20241103,2024-11-03 00:00:00,ACC30004,BL002,EMP00175,V1_Original,Monthly,OPEX,CC-5361,,6807.36,78227.01,90152.77,64442.06,EMP00221,Approved,EMP00067,,2024-11-12 00:00:00,2024-11-11 00:00:00,71419.65,1049.15,-83345.41,1149.15,57634.7
29,20230720,2023-07-20 00:00:00,ACC50002,BL002,EMP00059,V1_Original,Monthly,OPEX,CC-5877,PROJ-002,71487.64,108625.97,66933.62,26296.11,EMP00005,Pending,EMP00196,,2023-07-21 00:00:00,2023-08-18 00:00:00,37138.33,51.95,4554.02,151.95,-45191.53
30,20241208,2024-12-08 00:00:00,ACC30003,BL005,EMP00079,V3_Final,Rolling,OPEX,CC-7486,,33888.33,72607.66,3266.79,71937.9,EMP00230,Draft,EMP00098,Under Budget,2024-12-18 00:00:00,2025-01-01 00:00:00,38719.33,114.26,30621.54,214.26,38049.57
31,20240222,2024-02-22 00:00:00,ACC50002,BL004,EMP00142,V3_Final,Annual,CAPEX,CC-9498,PROJ-002,75691.57,20531.22,22979.1,57867.11,EMP00105,Pending,EMP00247,,2024-02-29 00:00:00,2024-03-21 00:00:00,-55160.35,-72.88,52712.47,27.12,-17824.46
32,20230724,2023-07-24 00:00:00,ACC20002,BL003,EMP00119,V3_Final,Rolling,Revenue,CC-9766,,54938.97,51881.56,93780.98,78592.16,EMP00210,Pending,EMP00121,,2023-07-29 00:00:00,2023-07-29 00:00:00,-3057.41,-5.57,-38842.01,94.43,23653.19
33,20250701,2025-07-01 00:00:00,ACC10002,BL003,EMP00237,V3_Final,Rolling,CAPEX,CC-9172,PROJ-001,12523.14,79036.42,70183.11,97226.56,EMP00143,Rejected,EMP00060,,2025-07-10 00:00:00,2025-07-25 00:00:00,66513.28,531.12,-57659.97,631.12,84703.42
34,20241024,2024-10-24 00:00:00,ACC30003,BL003,EMP00209,V3_Final,Annual,CAPEX,CC-5252,PROJ-001,95365.16,27053.06,58801.91,63339.63,EMP00008,Approved,EMP00046,,2024-10-29 00:00:00,2024-10-27 00:00:00,-68312.1,-71.63,36563.25,28.37,-32025.53
35,20241203,2024-12-03 00:00:00,ACC40002,BL001,EMP00245,V2_Revised,Quarterly,Revenue,CC-4128,PROJ-003,39601.05,1419.56,68413.02,81325.46,EMP00089,Approved,EMP00080,,2024-12-11 00:00:00,2024-12-19 00:00:00,-38181.49,-96.42,-28811.97,3.58,41724.41
36,20230713,2023-07-13 00:00:00,ACC10001,BL005,EMP00236,V2_Revised,Rolling,Revenue,CC-3598,PROJ-001,77154.7,101360.95,15768.54,94864.06,EMP00010,Pending,EMP00232,,2023-07-20 00:00:00,2023-07-28 00:00:00,24206.25,31.37,61386.16,131.37,17709.36
37,20240313,2024-03-13 00:00:00,ACC60001,BL001,EMP00227,V3_Final,Monthly,Headcount,CC-1615,PROJ-003,10740.2,66265.84,39234.44,36351.28,EMP00026,Approved,EMP00199,,2024-03-27 00:00:00,2024-03-31 00:00:00,55525.64,516.99,-28494.24,616.99,25611.08
38,20230121,2023-01-21 00:00:00,ACC40001,BL004,EMP00048,V3_Final,Monthly,CAPEX,CC-3532,PROJ-003,59686.48,13549.51,34525.25,88359.27,EMP00028,Pending,EMP00009,,2023-02-02 00:00:00,2023-02-07 00:00:00,-46136.97,-77.3,25161.23,22.7,28672.79
