HR_ID,Date_ID,Transaction_Date,Employee_ID,Business_Line_ID,Account_ID,Transaction_Type,Payroll_Period,Payment_Method,Payment_Status,Amount,Hours_Worked,Overtime_Hours,Hourly_Rate,Gross_Amount,Bonus_Type,Training_Course,Travel_Destination,Cost_Center,Project_Code,Approved_By,Processed_By,Notes,Approval_Date,Processing_Date,Tax_Amount,Social_Security,Health_Insurance,Net_Amount,Effective_Hourly_Rate
1,20230427,2023-04-27 00:00:00,EMP00030,BL003,ACC30001,Bonus,2023-04,Bank Transfer,Paid,1184.78,162,35,43.78,2673.68,Annual,,,CC-7427,,EMP00226,EMP00157,,2023-05-01 00:00:00,2023-05-04 00:00:00,267.37,668.42,267.37,1470.52,9.08
2,20230606,2023-06-06 00:00:00,EMP00034,BL005,ACC30001,Commission,2023-06,Bank Transfer,Paid,13877.29,133,14,93.92,3704.14,,,,CC-5764,,EMP00180,EMP00210,,2023-06-09 00:00:00,2023-06-12 00:00:00,370.41,926.04,370.41,2037.28,15.32
3,20230114,2023-01-14 00:00:00,EMP00091,BL004,ACC30001,Training,2023-01,Bank Transfer,Paid,1475.79,157,2,78.71,8330.46,,Compliance,,CC-5612,,EMP00145,EMP00180,Advance Payment,2023-01-17 00:00:00,2023-01-20 00:00:00,833.05,2082.61,833.05,4581.75,29.18
4,20230903,2023-09-03 00:00:00,EMP00162,BL004,ACC30001,Benefits,2023-09,Bank Transfer,Paid,4837.3,65,21,125.78,11938.21,,,,CC-5674,,EMP00080,EMP00228,,2023-09-09 00:00:00,2023-09-07 00:00:00,1193.82,2984.55,1193.82,6566.02,101.02
5,20240119,2024-01-19 00:00:00,EMP00001,BL004,ACC30001,Salary,2024-01,Bank Transfer,Paid,4872.64,88,38,18.25,8297.54,,,,CC-6633,PROJ-001,EMP00009,EMP00244,,2024-01-21 00:00:00,2024-01-22 00:00:00,829.75,2074.39,829.75,4563.65,51.86
6,20240723,2024-07-23 00:00:00,EMP00162,BL006,ACC30001,Salary,2024-07,Cash,Paid,11258.41,137,20,98.86,9499.54,,,,CC-5879,PROJ-003,EMP00159,EMP00182,,2024-07-26 00:00:00,2024-07-27 00:00:00,949.95,2374.89,949.95,5224.75,38.14
7,20250407,2025-04-07 00:00:00,EMP00086,BL004,ACC30001,Training,2025-04,Bank Transfer,Paid,8880.61,91,23,134.75,14834.45,,Compliance,,CC-4031,,EMP00232,EMP00053,,2025-04-12 00:00:00,2025-04-13 00:00:00,1483.45,3708.61,1483.45,8158.94,89.66
8,20230421,2023-04-21 00:00:00,EMP00097,BL006,ACC30001,Benefits,2023-04,Bank Transfer,Pending,6792.21,63,1,78.13,12029.75,,,,CC-1314,,EMP00145,EMP00139,,2023-04-25 00:00:00,2023-04-26 00:00:00,1202.98,3007.44,1202.98,6616.35,105.02
9,20230404,2023-04-04 00:00:00,EMP00214,BL002,ACC30001,Salary,2023-04,Bank Transfer,Paid,4420.75,196,28,115.07,14462.19,,,,CC-2567,,EMP00078,EMP00210,,2023-04-06 00:00:00,2023-04-10 00:00:00,1446.22,3615.55,1446.22,7954.2,40.58
10,20230604,2023-06-04 00:00:00,EMP00206,BL006,ACC30001,Salary,2023-06,Check,Paid,5390.93,158,15,146.41,12477.91,,,,CC-2914,,EMP00217,EMP00172,,2023-06-06 00:00:00,2023-06-05 00:00:00,1247.79,3119.48,1247.79,6862.85,43.44
