Purchase_ID,Purchase_Line_Number,Date_ID,Transaction_Date,Document_ID,Product_ID,Supplier_ID,Employee_ID,Business_Line_ID,Account_ID,PO_Number,Supplier_Invoice_Number,Purchase_Type,Payment_Terms,Payment_Status,Delivery_Status,Quantity_Ordered,Quantity_Received,Unit_Cost,Freight_Cost,Tax_Pct,Warehouse_Destination,Incoterms,Currency,Exchange_Rate,Quality_Check_Status,Defect_Rate_Pct,Approved_By,Received_By,Notes,Expected_Delivery_Date,Actual_Delivery_Date,Net_Amount,Tax_Amount,Total_Amount,Total_Amount_RON,Quantity_Variance,Delivery_Delay_Days
1,1,20240430,2024-04-30 00:00:00,DOC000476,PRD00047,SUPP00192,EMP00073,BL006,ACC20001,PO-850127,SINV-553867,Service,Net 30,Paid,Pending,431,241,484.82,128.08,19,WH_Cluj,FOB,RON,1.0149,Pending,3.64,EMP00115,EMP00177,,2024-05-26 00:00:00,2024-05-08 00:00:00,116841.62,22199.91,139169.61,141243.24,-190,-18
2,6,20230913,2023-09-13 00:00:00,DOC001367,PRD00169,SUPP00189,EMP00086,BL001,ACC20001,PO-800021,SINV-183089,Stock,Net 30,Partial,Delivered,344,382,391.66,12.04,19,WH_Bucharest,FOB,RON,1.0387,Passed,4.38,EMP00158,EMP00112,,2023-09-23 00:00:00,2023-10-30 00:00:00,149614.12,28426.68,178052.84,184943.48,38,37
3,12,20240624,2024-06-24 00:00:00,DOC001844,PRD00189,SUPP00194,EMP00194,BL005,ACC20002,PO-455582,SINV-239946,Direct,Prepaid,Paid,Pending,291,228,238.4,197.38,19,WH_Bucharest,DDP,EUR,0.9618,Passed,3.54,EMP00232,EMP00211,,2024-07-17 00:00:00,2024-08-07 00:00:00,54355.2,10327.49,64880.07,62401.65,-63,21
4,5,20250627,2025-06-27 00:00:00,DOC002355,PRD00309,SUPP00133,EMP00141,BL006,ACC20001,PO-626358,SINV-959426,Stock,Net 30,Paid,Delivered,323,397,111.43,118.52,19,WH_Cluj,FOB,RON,1.0334,Passed,4.91,EMP00092,EMP00212,,2025-07-12 00:00:00,2025-08-14 00:00:00,44237.71,8405.16,52761.39,54523.62,74,33
5,2,20240201,2024-02-01 00:00:00,DOC002935,PRD00002,SUPP00069,EMP00149,BL002,ACC20001,PO-571681,SINV-620773,Direct,Net 30,Pending,Delivered,365,256,25.12,137.17,19,WH_Bucharest,EXW,RON,0.9653,Passed,2.33,EMP00054,EMP00149,Quality Issues,2024-02-15 00:00:00,2024-03-16 00:00:00,6430.72,1221.84,7789.73,7519.43,-109,30
6,3,20250622,2025-06-22 00:00:00,DOC001599,PRD00407,SUPP00171,EMP00086,BL003,ACC20002,PO-507671,SINV-664950,Stock,Net 30,Paid,Delivered,390,219,403.84,30.4,19,WH_Timisoara,EXW,EUR,0.9663,Passed,3.64,EMP00193,EMP00149,,2025-07-14 00:00:00,2025-08-05 00:00:00,88440.96,16803.78,105275.14,101727.37,-171,22
7,15,20230928,2023-09-28 00:00:00,DOC000076,PRD00237,SUPP00113,EMP00243,BL001,ACC20002,PO-390205,SINV-135806,Stock,COD,Paid,Pending,286,476,334.77,98.28,19,WH_Bucharest,CIF,RON,0.9641,Passed,2.89,EMP00190,EMP00209,Partial Delivery,2023-10-22 00:00:00,2023-10-14 00:00:00,159350.52,30276.6,189725.4,182914.26,190,-8
8,5,20241216,2024-12-16 00:00:00,DOC001882,PRD00025,SUPP00198,EMP00175,BL005,ACC20001,PO-914878,SINV-808344,Direct,Prepaid,Paid,Delivered,484,321,55.65,108.07,19,WH_Bucharest,EXW,RON,0.9568,Passed,4.26,EMP00183,EMP00223,,2025-01-22 00:00:00,2025-01-21 00:00:00,17863.65,3394.09,21365.81,20442.81,-163,-1
9,12,20240430,2024-04-30 00:00:00,DOC002806,PRD00470,SUPP00143,EMP00135,BL006,ACC20002,PO-672983,SINV-651717,Service,Net 60,Paid,Delivered,178,89,213.47,175.97,19,WH_Timisoara,EXW,RON,0.9873,Passed,2.97,EMP00086,EMP00209,,2024-06-04 00:00:00,2024-06-18 00:00:00,18998.83,3609.78,22784.58,22495.22,-89,14
10,13,20230803,2023-08-03 00:00:00,DOC000252,PRD00338,SUPP00031,EMP00178,BL005,ACC20001,PO-885474,SINV-986124,Stock,Net 60,Paid,Delivered,141,41,40.63,108.41,19,WH_Timisoara,DDP,RON,0.9597,Passed,4.05,EMP00249,EMP00234,,2023-09-01 00:00:00,2023-09-07 00:00:00,1665.83,316.51,2090.75,2006.49,-100,6
