Sales_ID,Sales_Line_Number,Date_ID,Transaction_DateTime,Document_ID,Product_ID,Customer_ID,Employee_ID,Business_Line_ID,Account_ID,Order_Number,Invoice_Number,Sales_Channel,Payment_Method,Payment_Status,Delivery_Method,Quantity,Unit_Price,Unit_Cost,Discount_Pct,Tax_Pct,Promotion_Code,Customer_Segment_Override,Sales_Region,Warehouse_Location,Created_By,Modified_By,Is_Return,Return_Reason,Notes,Gross_Amount,Discount_Amount,Net_Amount,Tax_Amount,Total_Amount,Cost_Amount,Profit_Amount,Profit_Margin_Pct,Created_Date,Modified_Date
1,1,20251018,2025-10-18 09:31:00,DOC002164,PRD00226,CUST000090,EMP00026,BL006,ACC10002,ORD-451300,INV-780190,Online,Bank Transfer,Paid,Pickup,33,44.43,419.4,20,19,,,East,WH_Cluj,EMP00012,EMP00032,0,,,1466.19,293.24,1172.95,222.86,1395.81,13840.2,-12667.25,-1079.95,2025-10-18 00:00:00,2025-10-19 00:00:00
2,7,20231209,2023-12-09 14:40:00,DOC003995,PRD00197,CUST000168,EMP00002,BL001,ACC10001,ORD-997464,INV-441263,Mobile App,Bank Transfer,Paid,Standard,15,570.42,429.81,10,19,,Corporate,West,WH_Timisoara,EMP00093,EMP00069,0,Defective,,8556.3,855.63,7700.67,1463.13,9163.8,6447.15,1253.52,16.28,2023-12-09 00:00:00,2023-12-10 00:00:00
3,1,20240904,2024-09-04 12:09:00,DOC004459,PRD00155,CUST000403,EMP00105,BL002,ACC10002,ORD-425804,INV-840210,Online,Credit Card,Paid,Same-Day,50,983.83,453.19,0,19,,,North,WH_Cluj,EMP00195,EMP00132,0,,,49191.5,0,49191.5,9346.38,58537.88,22659.5,26532,53.94,2024-09-04 00:00:00,2024-09-04 00:00:00
4,1,20230509,2023-05-09 12:37:00,DOC001486,PRD00338,CUST000198,EMP00002,BL004,ACC10002,ORD-877668,INV-921351,Online,Bank Transfer,Paid,Standard,13,399.07,453.46,15,19,,,North,WH_Timisoara,EMP00083,EMP00154,0,,Rush Order,5187.91,778.19,4409.72,837.85,5247.57,5894.98,-1485.26,-33.68,2023-05-09 00:00:00,2023-05-12 00:00:00
5,9,20251108,2025-11-08 15:05:00,DOC001302,PRD00368,CUST000993,EMP00058,BL006,ACC10001,ORD-785708,INV-744085,Online,Cash,Paid,Standard,82,786.64,435.74,5,19,,,North,WH_Timisoara,EMP00094,EMP00104,0,,,64504.48,3225.22,61279.26,11643.06,72922.32,35730.68,25548.58,41.69,2025-11-08 00:00:00,2025-11-09 00:00:00
6,6,20231223,2023-12-23 16:10:00,DOC002716,PRD00003,CUST000887,EMP00051,BL004,ACC10002,ORD-216406,INV-472784,Phone,Credit Card,Overdue,Standard,33,713.98,62.13,25,19,SUMMER23,,South,WH_Bucharest,EMP00248,EMP00005,0,,,23561.34,5890.34,17671,3357.49,21028.49,2050.29,15620.71,88.4,2023-12-23 00:00:00,2023-12-23 00:00:00
7,7,20250816,2025-08-16 15:16:00,DOC003232,PRD00312,CUST000384,EMP00168,BL003,ACC10001,ORD-258569,INV-667593,Mobile App,Cash,Paid,Pickup,66,77.78,156.92,0,19,,,South,WH_Cluj,EMP00013,EMP00036,0,,,5133.48,0,5133.48,975.36,6108.84,10356.72,-5223.24,-101.75,2025-08-16 00:00:00,2025-08-17 00:00:00
8,2,20230322,2023-03-22 17:58:00,DOC001065,PRD00367,CUST000523,EMP00051,BL003,ACC10002,ORD-323770,INV-815063,In-Store,Credit Card,Paid,Standard,53,22.81,19.73,0,19,,,East,WH_Cluj,EMP00249,EMP00083,0,,,1208.93,0,1208.93,229.7,1438.63,1045.69,163.24,13.5,2023-03-22 00:00:00,2023-03-24 00:00:00
9,8,20241027,2024-10-27 09:01:00,DOC003773,PRD00320,CUST000564,EMP00126,BL002,ACC10002,ORD-480544,INV-953469,Phone,Cash,Paid,Standard,1,778.66,190.91,20,19,,,Central,WH_Bucharest,EMP00087,EMP00028,0,,Fragile,778.66,155.73,622.93,118.36,741.29,190.91,432.02,69.35,2024-10-27 00:00:00,2024-10-30 00:00:00
10,7,20250219,2025-02-19 17:40:00,DOC002215,PRD00277,CUST000356,EMP00126,BL003,ACC10002,ORD-388062,INV-270831,Mobile App,Cash,Paid,Standard,44,194.73,390.2,5,19,LOYALTY10,,South,WH_Bucharest,EMP00171,EMP00021,0,,,8568.12,428.41,8139.71,1546.54,9686.25,17168.8,-9029.09,-110.93,2025-02-19 00:00:00,2025-02-23 00:00:00
